,geometry,SpeedLimit,STREETNAME,Over_pct,O5mph_pct,Speed_avg,SpeedO_avg,Spd5O_avg,element_type,highway,nodes,lanes,maxspeed,name,oneway_no,oneway_yes
1,"LINESTRING (-122.39117965804613 37.787455186972764, -122.39205296294394 37.78676548321337)",30,HARRISON ST,39.77,11.11,28.4,33.76,38.32,way,residential,"[890045131, 65290185]","['2', '3']",25,Beale Street,1,0
1,"LINESTRING (-122.39117965804613 37.787455186972764, -122.39205296294394 37.78676548321337)",30,HARRISON ST,39.77,11.11,28.4,33.76,38.32,way,residential,"[65290185, 890045131]","['2', '3']",25,Beale Street,1,0
2,"LINESTRING (-122.39961623244395 37.78079148306888, -122.40184327335723 37.77903213358389)",30,HARRISON ST,48.0,15.0,29.55,33.88,38.0,way,secondary,"[65282779, 65335256]","['2', '3']",25,4th Street,0,1
2,"LINESTRING (-122.39961623244395 37.78079148306888, -122.40184327335723 37.77903213358389)",30,HARRISON ST,48.0,15.0,29.55,33.88,38.0,way,secondary,"[65282779, 9680491479]",1,25,4th Street,0,1
28,"LINESTRING (-122.39961623244395 37.78079148306888, -122.39907963433104 37.78036288754962)",25,4TH ST,69.0,32.0,27.35,30.12,33.72,way,secondary,"[65282779, 9680491479]",1,25,4th Street,0,1
2,"LINESTRING (-122.39961623244395 37.78079148306888, -122.40184327335723 37.77903213358389)",30,HARRISON ST,48.0,15.0,29.55,33.88,38.0,way,motorway_link,"[65281944, 65281916]","['2', '4']",50,nan,0,1
28,"LINESTRING (-122.39961623244395 37.78079148306888, -122.39907963433104 37.78036288754962)",25,4TH ST,69.0,32.0,27.35,30.12,33.72,way,motorway_link,"[65281944, 65281916]","['2', '4']",50,nan,0,1
2,"LINESTRING (-122.39961623244395 37.78079148306888, -122.40184327335723 37.77903213358389)",30,HARRISON ST,48.0,15.0,29.55,33.88,38.0,way,motorway_link,"[65282779, 1260360822]","['2', '1']",50,nan,0,1
3,"LINESTRING (-122.38775628064698 37.75283561191084, -122.38767895622722 37.75275271855192, -122.38757222629916 37.751639193810746, -122.38763397457048 37.7515596035663)",30,3RD ST,58.5,25.5,31.26,34.89,38.63,way,unclassified,"[65299949, 258965257]",nan,25,26th Street,1,0
4,"LINESTRING (-122.38775628064698 37.75283561191084, -122.38781677990747 37.752742975819686, -122.38771113084314 37.75164075762112, -122.38763397457048 37.7515596035663)",30,3RD ST,58.5,25.5,31.26,34.89,38.63,way,unclassified,"[65299949, 258965257]",nan,25,26th Street,1,0
